transaction_id,transaction_type,book_id,student_id,issue_date,return_date,penalty
1,issue,1,101,10/1/2023,,0
2,return,1,101,10/1/2023,10/10/2023,0
3,issue,3,103,1/3/2025,,0
4,issue,4,104,1/3/2025,,0
5,return,3,103,1/3/2025,1/3/2025,0
6,issue,1,101,1/3/2025,,0
7,return,1,101,1/3/2025,,0
8,issue,1,101,1/3/2025,,0
9,return,1,101,1/3/2025,,0
10,issue,1,101,1/3/2025,,0
11,return,1,101,1/3/2025,,0
12,issue,1,101,1/3/2025,,0
13,return,1,101,1/3/2025,,0
14,issue,1,101,1/3/2025,,0
15,return,1,101,1/3/2025,,0
16,issue,1,101,1/3/2025,,0
17,return,1,101,1/3/2025,,0
18,issue,1,101,1/3/2025,,0
19,return,1,101,1/3/2025,,0
20,issue,1,101,1/3/2025,,0
21,return,1,101,1/3/2025,,0
22,return,3,101,1/3/2025,,50
23,issue,1,101,1/3/2025,,0
24,issue,1,101,1/3/2025,,0
25,issue,1,101,1/3/2025,,0
26,issue,1,101,1/3/2025,,0
27,issue,1,101,1/3/2025,,0
28,issue,2,101,1/3/2025,,0
29,return,2,101,1/3/2025,1/3/2025,0
30,issue,3,101,1/3/2025,,0
31,return,3,101,1/3/2025,1/3/2025,0
32,issue,1,2,1/3/2025,,0
33,return,1,2,1/3/2025,1/3/2025,0
34,issue,1,1,1/3/2025,,0
35,issue,1,1,1/3/2025,,0
36,return,1,1,1/3/2025,1/3/2025,0
37,return,1,1,1/3/2025,1/3/2025,0
38,issue,5,1,1/3/2025,,0
39,return,5,1,1/3/2025,1/3/2025,0
40,issue,1,1,1/3/2025,,0
41,issue,1,1,12/31/2024,,0
42,issue,1,1,1/3/2025,,0
43,issue,1,1,1/3/2025,,0
44,return,1,1,1/3/2025,1/3/2025,0
45,issue,1,1,12/31/2024,,0
46,return,1,1,1/3/2025,1/3/2025,0
47,issue,1,1,1/3/2015,,0
48,return,1,1,1/3/2025,1/3/2025,0
49,issue,1,1,1/3/2015,,0
50,return,1,1,1/3/2025,1/3/2025,0
51,issue,1,1,1/3/2025,,0
52,return,1,1,1/3/2025,1/3/2025,0
53,issue,1,1,1/3/2025,,0
54,return,1,1,1/3/2025,1/3/2025,0
55,issue,1,1,1/3/2025,,50
,,,,,,50
57,return,1,1,1/3/2025,1/3/2025,0
58,issue,1,1,1/3/2025,,0
59,return,1,1,1/3/2025,1/3/2025,0
60,issue,1,1,1/3/2025,,0
61,return,1,1,1/3/2025,1/3/2025,50
62,issue,1,1,1/3/2025,,0
63,issue,1,1,1/1/2025,,
64,issue,1,1,1/3/2015,,0
65,return,1,1,1/3/2025,01/03/2025,0
66,issue,1,1,01/03/2025,,0
67,return,1,1,1/3/2025,01/03/2025,50
68,issue,1,1,01/03/2025,,0
69,return,1,1,1/3/2025,01/03/2025,31
70,issue,1,1,01/03/2025,,0
71,issue,1,1,01/03/2025,,0
72,return,1,1,1/3/2025,01/03/2025,0
73,return,1,1,1/3/2025,01/03/2025,31
74,issue,4,5,01/03/2025,,0
75,issue,4,5,01/03/2025,,0
